lat,lon,n_nodes,conf_min_dist,wtime,exp_err_m,weight
38.981172102615766,-78.11213935679255,8.0,30.14931492356065,2024-06-24 12:03:00,48.1,0.00043222496444949665
38.980913712787654,-78.11283155443395,8.0,49.083181570336876,2024-06-24 12:04:33,48.1,0.00043222496444949665
38.98123535001921,-78.11214829454738,8.0,25.480447739562972,2024-06-24 12:06:01,48.1,0.00043222496444949665
38.98111819225559,-78.11203752227804,8.0,25.480447739562972,2024-06-24 12:07:31,48.1,0.00043222496444949665
38.98134817774861,-78.11209264376748,8.0,25.480447739562972,2024-06-24 12:09:03,48.1,0.00043222496444949665
38.98118003783782,-78.1120331513651,8.0,25.480447739562972,2024-06-24 12:10:31,48.1,0.00043222496444949665
38.98133379907812,-78.11206719203105,8.0,25.480447739562972,2024-06-24 12:12:04,48.1,0.00043222496444949665
38.98124619756203,-78.11216153305834,8.0,25.480447739562972,2024-06-24 12:13:33,48.1,0.00043222496444949665
38.98141825528643,-78.11213595449154,8.0,27.7803631917344,2024-06-24 12:15:01,48.1,0.00043222496444949665
38.98146027435344,-78.11215693695662,8.0,25.480447739562972,2024-06-24 12:16:34,48.1,0.00043222496444949665
38.98140827310604,-78.11214316566173,8.0,25.480447739562972,2024-06-24 12:18:02,48.1,0.00043222496444949665
38.98141219173016,-78.112122220696,8.0,23.245658518021127,2024-06-24 12:19:31,48.1,0.00043222496444949665
38.98134964664453,-78.11203617651077,8.0,23.245658518021127,2024-06-24 12:21:04,48.1,0.00043222496444949665
38.98141103203772,-78.11214030126763,8.0,25.480447739562972,2024-06-24 12:22:37,48.1,0.00043222496444949665
38.981407568054735,-78.1121430479544,8.0,27.7803631917344,2024-06-24 12:24:00,48.1,0.00043222496444949665
38.98109872472989,-78.11291573221722,8.0,58.831736285581336,2024-06-24 12:25:30,86.0,0.00013520822065981613
38.98129329238818,-78.11205248260892,8.0,25.480447739562972,2024-06-24 12:27:02,48.1,0.00043222496444949665
38.98153112473067,-78.11214319397915,8.0,30.14931492356065,2024-06-24 12:28:30,48.1,0.00043222496444949665
38.981541106940334,-78.11215981103034,8.0,30.14931492356065,2024-06-24 12:30:00,48.1,0.00043222496444949665
38.98154815105082,-78.11217046592976,8.0,27.7803631917344,2024-06-24 12:31:32,48.1,0.00043222496444949665
38.9815418584767,-78.11211110646545,8.0,27.7803631917344,2024-06-24 12:33:00,48.1,0.00043222496444949665
38.981567168985116,-78.11210717672472,8.0,30.14931492356065,2024-06-24 12:34:34,48.1,0.00043222496444949665
38.98156282151017,-78.11210006842971,8.0,27.7803631917344,2024-06-24 12:36:02,48.1,0.00043222496444949665
38.98153959604507,-78.1121376619058,8.0,30.14931492356065,2024-06-24 12:37:30,48.1,0.00043222496444949665
38.981547120866644,-78.11205488109192,8.0,27.7803631917344,2024-06-24 12:39:09,48.1,0.00043222496444949665
